,fund_id,fund_nm,index_id,fee,m_fee,t_fee,creation_unit,issuer_nm,urls,eval_flg,t0,ex_dt,ex_info,amount,amount_notes,unit_total,unit_incr,price,volume,last_dt,last_time,increase_rt,estimate_value,last_est_time,discount_rt,fund_nav,nav_dt,index_nm,index_increase_rt,idx_price_dt,owned,holded,pe,pb
485,515560,证券ETF建信,399975,0.25,0.20,0.05,100.0,建信基金,http://www.ccbfund.cn/fund_info/info.jspx?fundCode=515560,Y,N,,,52188,,4.17,-0.02,0.799,643.25,2024-04-30,14:59:58,-1.48,0.7980,23:50:03,0.09,0.7983,2024-04-30,证券公司,-1.74,2024-04-30,0,0,-,-
486,515580,科技100ETF,-,0.60,0.50,0.10,200.0,华泰柏瑞,https://www.huatai-pb.com/products/zhishu/515580/index.html,Y,N,,,58403,,4.21,-0.10,0.721,1032.53,2024-04-30,14:58:36,-0.55,0.7208,23:50:03,-0.12,0.7219,2024-04-30,科技100,-0.86,2024-04-30,0,0,-,-
487,515590,500等权ETF,000982,0.20,0.15,0.05,200.0,前海开源,http://www.qhkyfund.com/osoa/qhkyfund/fund/info/515590.html,Y,N,,,2011,,0.27,0.00,1.333,134.93,2024-04-30,14:41:42,-0.37,1.3309,23:50:03,0.15,1.3310,2024-04-30,500等权,-0.66,2024-04-30,0,0,-,-
488,515600,央企创新ETF,000861,0.20,0.15,0.05,100.0,广发基金,http://www.gffunds.com.cn/funds/?fundcode=515600&fromSearch=1,Y,N,,,170380,,23.53,-0.01,1.381,3651.52,2024-04-30,14:59:04,-1.15,1.3819,23:50:03,-0.07,1.3820,2024-04-30,央企创新,-1.15,2024-04-30,0,0,-,-
489,515630,保险证券ETF,399966,0.60,0.50,0.10,50.0,鹏华基金,https://www.phfund.com.cn/web/FUND_515630,Y,N,,,10372,,1.02,0.00,0.985,522.03,2024-04-30,14:59:59,-1.79,0.9858,23:50:03,-0.12,0.9862,2024-04-30,800非银,-1.74,2024-04-30,0,0,-,-
490,515650,消费50ETF,-,0.60,0.50,0.10,200.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/515650/index.html,Y,N,,,175318,,20.69,0.00,1.180,5438.70,2024-04-30,14:59:46,1.11,1.1797,23:50:03,0.03,1.1797,2024-04-30,CS消费50,1.06,2024-04-30,0,0,-,-
491,515660,国联安沪深300ETF,000300,0.35,0.30,0.05,90.0,国联安,https://www.cpicfunds.com/product/515660/index.shtml,Y,N,,,129579,,54.77,0.00,4.227,15.81,2024-04-30,14:59:41,-0.52,4.2301,23:50:03,-0.15,4.2333,2024-04-30,沪深300,-0.54,2024-04-30,0,0,-,-
492,515680,央企创新ETF基金,000861,0.20,0.15,0.05,100.0,嘉实基金,https://www.jsfund.cn/main/fund/515680/fundManager.shtml,Y,N,,,158826,,22.19,-0.01,1.397,1264.04,2024-04-30,14:50:56,-1.13,1.3966,23:50:03,0.03,1.3966,2024-04-30,央企创新,-1.15,2024-04-30,0,0,-,-
493,515700,新能车ETF,-,0.20,0.15,0.05,100.0,平安基金,http://www.fund.pingan.com/main/peanutFinance/yingPeanut/fundDetailV2/515700.shtml,Y,N,,,232751,,34.33,-0.06,1.475,7409.38,2024-04-30,14:59:55,-1.47,1.4690,23:50:03,0.07,1.4739,2024-04-30,新能源车,-1.92,2024-04-30,0,0,-,-
494,515710,食品ETF,-,0.60,0.50,0.10,150.0,华宝基金,https://www.fsfund.com/funds/515710/index.shtml,Y,N,,,124460,,8.31,-0.03,0.668,1765.23,2024-04-30,14:59:59,0.30,0.6682,23:50:03,-0.03,0.6682,2024-04-30,细分食品,0.09,2024-04-30,0,0,-,-
495,515750,科技50ETF,-,0.60,0.50,0.10,100.0,富国基金,https://www.fullgoal.com.cn/funds/zhishu/515750/index.html,Y,N,,,51714,,5.66,0.01,1.094,1114.79,2024-04-30,14:59:12,-1.17,1.0900,23:50:03,0.27,1.0910,2024-04-30,中证科技,-1.20,2024-04-30,0,0,-,-
496,515760,浙江国资ETF,-,0.50,0.45,0.05,50.0,华夏基金,https://www.chinaamc.com/fund/515760/index.shtml,Y,N,,,19239,,2.09,0.00,1.086,0.97,2024-04-30,14:20:21,-0.55,1.0877,23:50:03,-0.16,1.0877,2024-04-30,浙江国资,-0.20,2024-04-30,0,0,-,-
