,name,code,tag,avgamount,index_name,index_id,市盈率,市盈率百分位
86,畜牧ETF,159867,行业，畜牧业,1551.14,中证畜牧,930707.CSI,396.86,0.9983079526226735
87,旅游ETF,562510,主题，旅游,5059.75,中证旅游,930633.CSI,251.77,0.9993141289437586
88,港股通央企红利ETF,513920,跨境，香港，央企,1429.74,红利指数,000015,6.36,
89,财富管理ETF,159503,主题，金融，理财,1041.09,财富管理,CN5074,8.3132,
90,房地产ETF,159768,行业，金融，房地产,2963.91,地产指数,399241,8.4807,
91,能源ETF,159930,行业，资源，能源,4186.82,中证能源,000928,10.01,
92,金融地产ETF,510650,行业，金融,1017.9,金融指数,399240,10.638,
93,资源ETF,510410,行业，资源,3889.6,上证资源,000068,11.31,
94,工业有色ETF,560860,行业，资源，有色金属,2453.41,有色指数,CN6051,11.5952,
95,交运ETF,159662,主题，运输,1207.56,国证交运,399433,12.436,
96,油气ETF,159697,行业，石油，天然气,1157.97,国证油气,399439,12.885,
97,新能源汽车ETF,516390,主题，新兴产业，新能源车,1243.53,新能源车,399417,17.3011,
98,证券ETF龙头,159993,行业，金融，证券,5302.75,证券龙头,399437,18.8718,
99,深证50ETF易方达,159150,策略，价值,1795.86,深证50,399850,19.5467,
100,科创新材料ETF,588010,主题，新材料，科创板,1213.05,科创材料,000689,20.26,
101,生物药ETF,159839,主题，新兴产业，生物科技,1712.84,生物医药,399441,20.3326,
102,汽车ETF,159512,行业，汽车,2220.53,汽车指数,CN6055,21.8674,
103,医药50ETF,512120,行业，医药,1201.4,医药指数,CN6046,22.1845,
104,有色ETF,159980,商品，有色金属,16039.03,金属指数,CN6052,22.9777,
105,电信ETF基金,560690,行业TMT，通信,2976.48,中证电信,000936,25.06,
106,食品饮料ETF,159843,行业，食品饮料,1320.16,国证食品,399396,25.6439,
107,消费ETF,510150,行业，消费,1931.81,消费80,000069,25.97,
108,酒ETF,512690,行业，食品饮料，酒,30591.17,中证酒指数,399987,29.63,
109,国防ETF,512670,行业，军工,8643.76,中证国防指数,399973,32.32,
110,科创信息技术ETF,588100,行业，信息技术，科创板,3092.39,科创信息,000682,56.62,
111,科创芯片ETF南方,588890,行业，半导体，芯片，科创板,4367.62,科创芯片,000685.SH,110.59,
112,香港科技50ETF,159750,跨境，香港，科技,1640.47,港股科技,987006,,
113,港股通创新药ETF,159570,跨境，香港，医药,2949.06,港股通创新药,987018,,
114,港股通科技30ETF,159636,跨境，香港，科技,12773.56,港股通科技,987008,,
115,港股通50ETF,513550,跨境，香港,15424.26,港股通50,987003,,
