,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
252,稀土ETF,159713,0.655,9791,10017,主题，稀土,0.60%,富国基金,2021-08-16,稀土产业指数,1499.49,9924,9791,8397,10000,10000,2.58
253,畜牧养殖ETF,516670,0.674,10030,9990,行业，畜牧养殖,0.30%,招商基金,2021-03-26,中证畜牧指数,2541.58,9985,9335,8342,6871,10000,6.43
254,创50ETF,159681,0.783,9899,10076,宽基，中小盘,0.60%,鹏华基金,2023-01-03,创业板50指数,1838.19,10343,10169,8216,10000,10000,7.76
255,H股ETF,159954,0.698,10000,10000,跨境，香港，中概股,0.60%,南方基金,2018-03-15,恒生中国企业指数,1293.38,10958,11405,9887,6952,6857,2.6
256,1000ETF增强,159680,0.965,9938,10024,宽基，中小盘,0.60%,招商基金,2022-11-30,中证1000指数,2838.39,10343,9797,9208,10000,10000,2.41
257,大数据ETF,159739,0.859,9908,9991,主题，TMT，互联网,0.60%,鹏华基金,2021-11-17,云计算指数,3779.73,10023,9874,7746,10000,10000,2.38
258,生物医药ETF,159859,0.382,9948,10017,行业，医药，生物科技,0.60%,天弘基金,2021-07-07,生物医药指数,4880.94,9845,8093,7154,10000,10000,25.62
259,消费电子ETF富国,561100,0.65,9893,9993,主题，消费电子,0.60%,富国基金,2022-02-08,消费电子指数,2499.8,10078,9299,8832,10000,10000,3.92
260,科创ETF,588050,0.791,9887,10011,宽基，中小盘，科创板,0.35%,工银瑞信基金,2020-11-16,科创50指数,12293.48,10064,9019,7075,5846,10000,74.73
261,生物药ETF,159839,0.359,9945,10017,主题，新兴产业，生物科技,0.60%,汇添富基金,2021-02-22,生物医药指数,1712.84,9836,8086,7109,3547,10000,4.83
262,深证成指ETF,159943,0.997,9911,10006,宽基，综合,0.60%,大成基金,2015-07-08,深证成指,1189.09,10194,10112,8617,7162,11437,1.55
263,科创创业ETF,588360,0.513,9884,10046,宽基，中小盘，科创板,0.60%,国泰基金,2021-07-06,科创创业50指数,2322.76,10158,9734,8016,10000,10000,5.03
264,电池30ETF,159757,0.484,9857,10062,主题，新兴产业，新能源车，电池,0.60%,景顺长城基金,2021-08-09,新能电池指数,1693.83,10276,9719,7181,10000,10000,3.35
265,医疗器械ETF招商,159898,0.55,10036,10015,行业，医药，医疗器械,0.60%,招商基金,2021-06-04,医疗器械指数,1317.93,10280,9338,8346,10000,10000,1.5
266,券商ETF华夏,515010,1.002,9814,10017,行业，金融，证券,0.60%,华夏基金,2019-11-07,证券公司指数,2137.78,10204,9709,9489,8736,10000,7.23
267,中国A50ETF,159602,0.752,9947,10024,MSCI,0.60%,南方基金,2021-11-08,MSCI中国A50互联互通人民币指数,1303.48,10344,10962,9400,10000,10000,12.21
268,新能源车ETF,159806,0.484,9878,10061,主题，新兴产业，新能源车,0.60%,国泰基金,2020-03-20,CS新能车指数,2940.74,10168,9398,7235,7097,10000,12.76
269,金融地产ETF,510650,2.099,9943,10000,行业，金融,0.60%,华夏基金,2013-05-08,上证金融指数,1017.9,10355,10944,10179,9878,10726,0.445
270,恒生指数ETF,513600,2.025,10015,10000,跨境，香港,0.60%,南方基金,2015-01-26,香港恒生指数,11625.89,10812,10928,9476,7431,7647,9.81
271,房地产ETF华夏,515060,0.61,9698,10000,行业，金融，房地产,0.60%,华夏基金,2020-01-03,房地产指数,3235.49,9744,8879,7193,6263,10000,4.11
272,创业50ETF,159682,0.774,9898,10084,宽基，中小盘,0.20%,景顺长城基金,2023-01-03,创业板50指数,12470.28,10334,10157,8173,10000,10000,22.8
273,纳指100ETF,159660,1.408,9993,10000,跨境，美国,0.65%,汇添富基金,2023-04-17,纳斯达克100指数,1445.02,9771,10715,13941,10000,10000,4.66
274,软件龙头ETF,159899,0.621,9842,10003,主题，新兴产业，软件,0.60%,招商基金,2021-06-28,软件指数,1569.54,9703,8347,6449,10000,10000,1.53
275,创业大盘ETF,159814,0.35,9887,10043,宽基，中小盘,0.60%,西部利得基金,2020-07-17,创业大盘指数,3606.14,10355,10086,8140,5757,10000,4.88
276,中医药ETF,561510,1.14,10115,10012,行业，医药,0.60%,华泰柏瑞基金,2022-08-04,中证中药指数,1040.46,10526,10062,8913,10000,10000,1.05
