,name,code,index_name,index_id,市盈率,市盈率百分位
201,沪深300指数ETF,515310,沪深300,000300.SH,12.06,0.4084507042253521
202,沪深300ETF指数基金,515390,沪深300,000300.SH,12.06,0.4084507042253521
203,计算机ETF,512720,CS计算机,930651.CSI,53.76,0.41893764434180136
204,计算机ETF,159998,CS计算机,930651.CSI,53.76,0.41893764434180136
205,深证成指ETF,159943,深证成指,399001.SZ,22.5,0.42623774817793414
206,深成ETF,159903,深证成指,399001.SZ,22.5,0.42623774817793414
207,医疗创新ETF,516820,CS医药创新,931484.CSI,27.4,0.4293085655314757
208,医药龙头ETF,515950,医药50,931140.CSI,29.6,0.4331723027375201
209,红利低波ETF,512890,红利低波,h30269.CSI,6.48,0.45299484331614437
210,红利低波ETF泰康,560150,红利低波,h30269.CSI,6.48,0.45299484331614437
211,红利低波动ETF,563020,红利低波,h30269.CSI,6.48,0.45299484331614437
212,红利低波50ETF,515450,红利低波,h30269.CSI,6.48,0.45299484331614437
213,中证1000ETF基金,560110,中证1000,000852.SH,38.38,0.4679017664799655
214,中证1000指数ETF,159633,中证1000,000852.SH,38.38,0.4679017664799655
215,1000ETF增强,159680,中证1000,000852.SH,38.38,0.4679017664799655
216,中证1000ETF,512100,中证1000,000852.SH,38.38,0.4679017664799655
217,中证1000ETF指数,560010,中证1000,000852.SH,38.38,0.4679017664799655
218,中证1000ETF,159845,中证1000,000852.SH,38.38,0.4679017664799655
219,中证1000指数ETF,516300,中证1000,000852.SH,38.38,0.4679017664799655
220,1000增强ETF,159677,中证1000,000852.SH,38.38,0.4679017664799655
221,1000ETF,159629,中证1000,000852.SH,38.38,0.4679017664799655
222,上证180ETF,510180,上证180,000010.SH,10.76,0.46834170854271356
223,证券保险ETF,512070,300非银,h30035.CSI,16.48,0.47188973521944144
224,消费电子ETF,159732,消费电子,931494.CSI,35.58,0.4734607218683652
225,消费电子ETF富国,561100,消费电子,931494.CSI,35.58,0.4734607218683652
226,上证综指ETF,510760,上证指数,000001.SH,13.61,0.47625031414928376
227,上证综合ETF,510980,上证指数,000001.SH,13.61,0.47625031414928376
228,上证指数ETF,510210,上证指数,000001.SH,13.61,0.47625031414928376
229,半导体产业ETF,159582,中证半导,931865.CSI,67.34,0.4863123993558776
230,半导体设备ETF,561980,中证半导,931865.CSI,67.34,0.4863123993558776
231,游戏ETF,516010,动漫游戏,930901.CSI,35.93,0.5131752305665349
232,游戏ETF,159869,动漫游戏,930901.CSI,35.93,0.5131752305665349
233,游戏动漫ETF,516770,动漫游戏,930901.CSI,35.93,0.5131752305665349
234,上证50ETF,510050,上证50,000016.SH,10.46,0.5350590600653431
235,上证50ETF易方达,510100,上证50,000016.SH,10.46,0.5350590600653431
236,50ETF基金,510800,上证50,000016.SH,10.46,0.5350590600653431
237,央企创新驱动ETF,515900,央企创新,000861.CSI,13.14,0.5452282157676348
238,央企创新ETF,515600,央企创新,000861.CSI,13.14,0.5452282157676348
239,绿色电力ETF,159625,绿色电力,399438.SZ,19.01,0.5535478184222125
240,绿电50ETF,561170,绿色电力,399438.SZ,19.01,0.5535478184222125
241,绿电ETF,159669,绿色电力,399438.SZ,19.01,0.5535478184222125
242,证券ETF,159841,证券公司,399975.SZ,24.45,0.5835553863722878
243,券商指数ETF,515850,证券公司,399975.SZ,24.45,0.5835553863722878
244,证券ETF东财,159692,证券公司,399975.SZ,24.45,0.5835553863722878
245,证券ETF基金,512900,证券公司,399975.SZ,24.45,0.5835553863722878
246,证券ETF,512880,证券公司,399975.SZ,24.45,0.5835553863722878
247,证券ETF易方达,512570,证券公司,399975.SZ,24.45,0.5835553863722878
248,券商ETF华夏,515010,证券公司,399975.SZ,24.45,0.5835553863722878
249,证券指数ETF,560090,证券公司,399975.SZ,24.45,0.5835553863722878
250,券商ETF,159842,证券公司,399975.SZ,24.45,0.5835553863722878
251,券商ETF,512000,证券公司,399975.SZ,24.45,0.5835553863722878
252,MSCI中国A50ETF,560050,MSCI中国A50互联互通,746059.MI,10.88,0.6184384649316277
253,中国A50ETF,159602,MSCI中国A50互联互通,746059.MI,10.88,0.6184384649316277
254,A50ETF,159601,MSCI中国A50互联互通,746059.MI,10.88,0.6184384649316277
255,中国A50ETF,563000,MSCI中国A50互联互通,746059.MI,10.88,0.6184384649316277
256,煤炭ETF,515220,中证煤炭,399998.SZ,12.55,0.6581769436997319
257,创新药ETF,159992,CS创新药,931152.CSI,44.91,0.6647540983606557
258,创新药ETF,515120,CS创新药,931152.CSI,44.91,0.6647540983606557
259,沪深300成长ETF,562310,300成长,000918.CSI,17.34,0.7007077856420627
260,300成长ETF,159656,300成长,000918.CSI,17.34,0.7007077856420627
261,数字经济ETF,560800,数字经济,931582.CSI,50.07,0.7049763033175356
262,数字经济ETF,159658,数字经济,931582.CSI,50.07,0.7049763033175356
263,电子ETF,515260,电子50,931461.CSI,36.64,0.7055710306406685
264,建材ETF,516750,建筑材料,931009.CSI,22.27,0.7350590026646364
265,建材ETF,159745,建筑材料,931009.CSI,22.27,0.7350590026646364
266,云计算50ETF,516630,云计算,930851.CSI,77.97,0.7497354497354497
267,大数据ETF,159739,云计算,930851.CSI,77.97,0.7497354497354497
268,云计算ETF,516510,云计算,930851.CSI,77.97,0.7497354497354497
269,云计算ETF,159890,云计算,930851.CSI,77.97,0.7497354497354497
270,中韩半导体ETF,513310,中韩半导体,931790.CSI,58.27,0.7661431064572426
271,中证A100ETF,159631,中证100,000903.SH,13.91,0.7969849246231155
272,中证100ETF,512910,中证100,000903.SH,13.91,0.7969849246231155
273,中证100ETF基金,562000,中证100,000903.SH,13.91,0.7969849246231155
274,芯片产业ETF,159310,芯片产业,H30007.CSI,81.63,0.8216403162055336
275,芯片龙头ETF,516640,芯片产业,H30007.CSI,81.63,0.8216403162055336
276,半导体芯片ETF,516350,芯片产业,H30007.CSI,81.63,0.8216403162055336
277,纳斯达克ETF,513300,纳斯达克100,NDX.GI,32.95,0.8229721728833629
278,纳指ETF,159941,纳斯达克100,NDX.GI,32.95,0.8229721728833629
279,纳指100ETF,159660,纳斯达克100,NDX.GI,32.95,0.8229721728833629
280,纳斯达克100ETF,159659,纳斯达克100,NDX.GI,32.95,0.8229721728833629
281,纳斯达克100指数ETF,159513,纳斯达克100,NDX.GI,32.95,0.8229721728833629
282,纳指ETF,513100,纳斯达克100,NDX.GI,32.95,0.8229721728833629
283,纳斯达克100ETF,513110,纳斯达克100,NDX.GI,32.95,0.8229721728833629
284,纳指ETF富国,513870,纳斯达克100,NDX.GI,32.95,0.8229721728833629
285,纳指100ETF,513390,纳斯达克100,NDX.GI,32.95,0.8229721728833629
286,纳斯达克ETF,159632,纳斯达克100,NDX.GI,32.95,0.8229721728833629
287,纳斯达克指数ETF,159501,纳斯达克100,NDX.GI,32.95,0.8229721728833629
288,红利低波ETF基金,515300,300红利LV,930740.CSI,8.09,0.8871090770404272
289,钢铁ETF,515210,中证钢铁,930606.CSI,40.67,0.8918014500836586
290,软件ETF,515230,软件指数,h30202.CSI,159.17,0.9501332318233726
291,软件龙头ETF,159899,软件指数,h30202.CSI,159.17,0.9501332318233726
292,农业ETF,159825,中证农业,000949.CSI,300.15,0.9953770586535683
293,畜牧养殖ETF,516670,中证畜牧,930707.CSI,396.86,0.9966216216216216
294,养殖ETF,159865,中证畜牧,930707.CSI,396.86,0.9966216216216216
