,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
805,CN2018,创业创新R,100,3877.9095,-0.0119,26.3803,14432.35001,432.92192523529997,35871.8939520052,796.3506202481
806,CN2019,创业200R,200,3034.5057,-0.008,33.4203,39415.2416,489.2137313904,18393.6653019816,10272.1208758545
807,CN2020,创业小盘R,300,1153.2518,-0.0091,32.4709,37236.75829,397.2604280279,13573.4368912799,7135.282823766701
808,CN2030,碳科技30R,30,2825.2871,-0.0189,19.7585,5613.45175,179.0315922134,18172.7828257696,6718.217409893001
809,CN2050,创新引擎R,50,2543.7546,-0.0069,15.5338,25139.72571,333.6599133762,28881.04247554,13475.0702564552
810,CN2060,碳科技60R,60,2731.0104,-0.0047,16.3504,22841.45225,539.0175869363,46233.969194678604,25109.4362522331
811,CN2088,深创100R,100,3493.3144,-0.0069,18.1104,46556.88766,1013.0765518792,79196.3594190535,44276.2006764458
812,CN2258,绿色低碳R,50,3426.0919,-0.0091,15.2425,24734.35705,487.9972407211,37685.5822388297,16617.6048257054
813,CN2259,创业低碳R,50,2997.0295,-0.0202,19.5737,9813.62923,180.3568860752,16583.2561479158,4643.9219234228
814,CN2260,先进制造R,50,2944.9014,-0.0066,18.3862,29076.9716,657.8573749351999,60815.4113646354,32785.1679448659
815,CN2261,创业制造R,50,3427.9388,-0.0112,23.4694,8097.67596,350.9707880804,31133.979000536,13984.832851826899
816,CN2262,数字经济R,50,1630.8614,-0.0061,31.0762,18740.88871,459.532939451,28508.749060449198,16489.3473244732
817,CN2263,创业数字R,50,1516.8076,-0.0117,39.9367,11953.15217,292.5405552858,17312.028352973997,10228.3694055454
818,CN2264,创新技术R,50,1026.5115,-0.0127,58.9709,8229.58152,179.238897912,8120.6757105812,4729.8216906795005
819,CN2265,创新药械R,50,1130.4201,0.0017,26.0941,6668.74409,126.9573200747,10599.3238568349,4770.4068923921
820,CN2266,创新能源R,50,2175.4305,-0.0183,19.6127,7703.26518,212.22726700939998,19106.122088968998,7404.503729800601
821,CN2269,创质量R,100,4213.7779,-0.0136,25.2358,11037.21689,371.0812713927,21615.616621637,12111.4103146526
822,CN2274,深新基建R,50,3675.1604,-0.0022,27.7896,15420.97149,484.251911468,31351.2485817814,17695.5422879748
823,CN2275,创医药R,50,2999.9298,-0.0004,27.5183,7388.99633,149.0789702108,13156.8844896997,5308.8038604456
824,CN2276,创科技R,50,4693.0354,-0.0124,25.5,8628.27022,304.7914845966,26564.281693843997,10827.3851187453
825,CN2277,公共健康R,50,2620.6092,-0.0004,23.7485,6848.84549,125.9146005634,13798.0608837241,4575.6384150111
826,CN2278,长江100R,100,1715.1405,-0.0109,18.1075,44319.83175,720.6590832886,58790.998864677196,29034.2272911793
