,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
602,470059,深证民企科技R,50,3307.2408,-0.0134,23.7704,9279.50414,301.1684631925,27841.6317547923,12392.5668110856
603,470060,深证ESG成长R,50,1285.2758,-0.0057,25.3057,7858.50531,111.33731706,11567.4519897409,1972.1990402469
604,470061,深证ESG价值R,50,1651.1566,-0.0011,16.85,11706.6327,147.7068527683,12781.842938714799,2451.9990703175
605,470062,深红利300R,300,6305.8758,0.0028,15.3213,67271.50839,1020.6684432028999,86167.0097821545,1767.8887204746
606,470063,深证回购R,50,1905.884,-0.0051,19.5204,16206.49058,193.4775062786,23324.170006268,429.4272653872
607,470064,深证国企股东回报R,50,2141.5232,0.0056,16.1512,24590.64876,236.4887105686,31733.2200563812,10211.565907735501
608,470065,深证优质信披R,0,2508.2019,-0.0055,18.1485,115820.345,1746.9728280338,150312.4687083336,77203.7463819639
609,471001,深成地产R,0,738.9489,-0.0207,7.5226,3317.3569,24.9028491519,2242.1353681333,971.0063664106
610,471002,中小地产R,0,1259.4511,-0.0055,11.02,4560.01844,12.0482035943,1015.3818992767999,364.40558733529997
611,471004,创业板战略科技R,50,5126.9553,-0.0085,34.9209,7173.21569,170.9164898669,12395.4592748432,5785.5269535826
612,480001,湾创100R,100,1206.4306,-0.0081,,33391.55477,617.0756293277,105266.3893172574,47232.5622798176
613,480002,湾创100R(港币),100,1135.3113,-0.0079,,33391.55477,667.6256453823,113889.47536184211,51101.7478976642
614,480003,湾区综指R,0,2518.5373,-0.0075,,71252.85987,971.7821250344,180131.3099239202,26570.7958642591
615,480004,湾区综指R(港币),0,2215.0481,-0.0074,,71252.85987,1051.3886494957,194886.8902866456,28747.3810543875
616,480005,GTCOM港股通100R,100,1390.6549,-0.0097,,14904.31479,307.055776045,109811.2668128361,61741.1901515475
617,480006,GTCOM港股通100R（港币）,100,1295.9281,-0.0096,,14904.31479,332.2071817773,118806.0747306972,66798.5049622384
618,480007,湾区新兴R,100,3274.8874,-0.0037,,33111.18734,537.3259029168,71557.43957281951,27396.142264541002
619,480008,湾区新兴R(港币),100,2858.5046,-0.0036,,33111.18734,581.342985321,77419.154294637,29640.3906928481
620,480009,湾区制造R,100,3839.1498,-0.0063,,30591.70333,456.8723062278,36489.7657181902,21304.9573800031
621,480010,湾区制造R(港币),100,3351.0247,-0.0062,,30591.70333,494.2992044604,39478.9869521305,23050.2466526436
622,480011,湾区服务R,100,1848.403,-0.0089,,23397.31043,273.93690471220003,74559.9642479374,14531.8321298154
623,480012,湾区服务R(港币),100,1613.3905,-0.0088,,23397.31043,296.3767563679,80667.4274213299,15722.2183090706
624,480013,湾区医药R,30,1877.0013,-0.0041,,2085.28766,42.6225747512,8426.5886893715,2601.0037562979
625,480014,湾区医药R（港币）,30,1650.8196,-0.004,,2085.28766,46.114161143400004,9116.8823423101,2814.0720041507
626,480015,疫苗生科R,50,8457.6364,-0.007,25.2239,5008.74226,151.5914585498,19267.3555192552,3525.3767255504
627,480016,公卫健康R,50,6825.657,-0.0032,23.6337,6342.22589,182.0295003813,25422.879862939102,12815.5409653484
628,480017,国证芯片R,30,6616.6765,-0.0088,49.1467,3406.37274,169.8775457886,16352.658482385,9127.0851051449
629,480018,卫星通信R,50,2891.0774,-0.0239,26.4256,10652.58206,230.3200012546,14883.6087713885,1917.9674430334
630,480019,湾区海洋R,30,1929.6956,-0.0082,,4032.47128,54.342172330299995,6791.7275100386,893.7399397094999
631,480020,湾区海洋R(港币),30,1684.3449,-0.0081,,4032.47128,58.7937962472,7348.0594849738,966.951243986
632,480021,碳中和50R,50,1744.7495,0.0037,17.5474,25883.61378,293.9820437359,28860.8031935239,10719.3451324391
633,480022,机器人100R,100,1832.3097,-0.016,31.5615,14434.81987,255.551461056,13611.1020474702,5054.5626758277
634,480023,南山50R,50,1979.0216,-0.0132,,8776.06322,202.29305704939998,39998.8759191554,5900.7354335705
635,480024,南山50R(港币),50,1740.5454,-0.0131,,8776.06322,218.8643603542,43275.3389831789,6384.1112609009
636,480026,风光装备R,30,1342.0951,-0.0151,10.766,6754.06048,105.4972594323,11410.425710815,2393.2670086528
637,480027,新能源电池R,50,2093.569,-0.0181,20.8196,10741.6599,188.13427715400002,17183.6053180507,4578.147038189
638,480028,龙头家电R,30,16035.2187,-0.0002,14.5528,3530.36662,85.96695878,14064.8841613717,3074.3963740067998
639,480030,消费电子R,50,4870.7777,-0.0034,29.3471,23778.27839,277.72200800919995,19288.011720194398,11239.0178952663
640,480032,新能电池R,30,11510.0555,-0.0091,17.7522,13813.6127,338.7404912781,21877.9663495794,8293.6620389286
641,480033,自主科技R,50,6410.5858,-0.0144,33.0136,7437.96756,292.3617716315,29854.6238132133,15757.8790063571
642,480034,工业软件R,50,2587.0955,-0.0168,33.8661,7363.95411,127.2086817034,9043.9494504515,1373.7646190596001
643,480035,化肥农药R,80,1852.6428,0.0134,16.2175,18086.77471,179.53558003770002,9774.633671176,2454.4955591645003
644,480036,创新龙头R,100,2579.9715,-0.0083,,26907.71857,431.17788906330003,68248.17282871451,22952.6736071223
645,480037,创新龙头R（港币）,100,2251.937,-0.0082,,26907.71857,466.49929043,73838.7749375237,24832.901818332797
646,480038,深圳高新R,50,3421.5222,-0.0081,,15461.47778,319.92988970939996,49866.0053988062,12928.902177048301
647,480039,深圳高新R（港币）,50,2980.1516,-0.008,,15461.47778,346.1380436192,53950.7925073613,13988.023057075201
