,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,市盈率,市盈率百分位
21,物流ETF,516910,行业，物流,1653.71,CS物流,930716.CSI,13.99,0.16932457786116323
22,交运ETF,159662,主题，运输,1207.56,国证交运,399433,14.4559,
23,德国ETF,513030,跨境，德国,7401.46,德国DAX,GDAXI.GI,14.86,0.3962215320910973
24,深红利ETF,159905,策略，红利,4226.76,深证红利,399324.SZ,15.34,0.35809284818067755
25,家电ETF,159996,行业，家电,9773.23,家用电器,930697.CSI,16.56,0.33395348837209304
26,证券保险ETF,512070,行业，金融,15289.69,300非银,h30035.CSI,16.84,0.5088671733622874
27,日经225ETF,513880,跨境，日本,13862.96,日经225,N225.GI,17.5,0.2431340872374798
28,沪深300成长ETF,562310,策略，成长,2516.28,300成长,000918.CSI,17.53,0.715042907622413
29,光伏ETF,515790,主题，光伏，新兴产业,32407.84,光伏产业,931151.CSI,18.33,0.2039151712887439
30,碳中和100ETF,562990,主题，环保，新兴产业,1568.37,SEEE碳中和,931755.CSI,18.48,0.36774193548387096
31,绿色电力ETF,159625,主题，新兴产业，新能源,1855.04,绿色电力,399438.SZ,19.15,0.5727472527472528
32,红利50ETF,159758,策略，红利，价值,1849.37,红利质量,931468.CSI,19.62,0.45020746887966806
33,深证50ETF富国,159350,策略，价值,4587.22,深证50,399850,19.9626,
34,工业有色ETF,560860,行业，资源，有色金属,2453.41,有色指数,CN6051,20.1159,
35,碳中和ETF,159790,主题，低碳,2990.67,内地低碳,000977.CSI,20.34,0.11764705882352941
36,新能源ETF,516160,主题，新能源，新兴产业,14889.25,中证新能,399808.SZ,21.01,0.12639074321317312
37,证券ETF龙头,159993,行业，金融，证券,5302.75,证券龙头,399437,21.183,
38,汽车ETF,516110,行业，汽车,9694.29,汽车指数,CN6055,22.1296,
39,中概互联网ETF,513050,跨境，中概股,127368.97,中国互联网50,H30533.CSI,22.23,0.07672073651907059
40,化工ETF,159870,行业，化工,7182.7,细分化工,000813.CSI,22.23,0.4156110920917494
41,电信ETF基金,560690,行业TMT，通信,2976.48,中证电信,000936,22.25,
42,电池ETF,159755,主题，新兴产业，新能源车，电池,9889.71,新能电池,980032.CNI,22.45,0.24921979491752116
43,新能车ETF,515700,主题，新兴产业，新能源车,9415.91,新能源车,399417,22.4821,
44,科技100ETF,515580,主题，新兴产业，科技,1526.71,科技100,931187.CSI,22.76,0.35387177352206495
45,有色50ETF,159652,行业，资源，有色金属,2762.25,细分有色,000811.CSI,23.04,0.1871016122984627
46,建材ETF,159745,行业，建筑材料,4567.31,建筑材料,931009.CSI,23.05,0.7569312571211546
47,消费50ETF,515650,行业，消费,4385.62,CS消费50,931139.CSI,23.17,0.19631410256410256
48,有色60ETF,159881,行业，资源，有色金属,2876.85,中证有色,930708.CSI,23.17,0.2574511819116136
