,name,code,close,rate,premium,tag,mtexp,fundfirm,listdate,index,avgamount,m1,y0,y1,y3,y5,scale
389,芯片龙头ETF,516640,0.841,9988,9987,行业，半导体，芯片,0.60%,富国基金,2021-08-27,芯片产业指数,6774.79,11600,11350,16490,9882,10000,12.26
390,电子ETF,159997,1.252,10000,9991,行业，电子,0.60%,天弘基金,2020-03-20,CS电子指数,7772.28,11320,11229,15343,10296,10000,13.43
391,半导体龙头ETF,159665,1.412,10000,10011,行业，半导体，芯片,0.52%,工银瑞信基金,2023-01-06,国证芯片指数,4478.11,11679,11287,17053,10000,10000,3.95
392,科创50增强ETF,588460,1.245,10057,9976,宽基，中小盘，科创板,1.10%,鹏华基金,2023-01-05,科创50指数,5974.02,11328,11096,15146,10000,10000,6.26
393,A500ETF工银,159362,1.014,10000,9999,宽基，中小盘,0.20%,工银瑞信基金,2024-12-02,中证A500指数,21330.16,10443,10150,10000,10000,10000,20.0
394,科创100ETF华夏,588800,1.007,10000,10003,宽基，中小盘，科创板,0.20%,华夏基金,2023-11-16,科创100指数,38858.6,11535,11601,12877,10000,10000,46.92
395,科创材料ETF,588160,0.633,10000,10083,主题，新材料，科创板,0.60%,南方基金,2022-10-26,科创材料指数,1463.12,11324,11263,11921,10000,10000,1.72
396,创业板200ETF华夏,159573,1.278,10000,9984,宽基，中小盘,0.20%,华夏基金,2023-12-25,创业200指数,2823.72,11618,11330,14707,10000,10000,2.87
397,港股红利低波ETF,159569,1.115,10009,10000,跨境，香港，策略，红利,0.58%,景顺长城基金,2024-08-22,港股通红利低波指数,2678.85,10018,9679,10000,10000,10000,1.29
398,证券ETF龙头,560090,1.195,9958,10007,行业，金融，证券,0.60%,汇添富基金,2023-03-15,证券公司指数,6287.18,10258,9492,12307,10000,10000,18.71
399,银行ETF龙头,512820,1.294,10023,10012,行业，金融，银行,0.60%,汇添富基金,2018-11-23,中证银行指数,7951.64,9788,9931,12750,12568,13977,21.44
400,双创50ETF,159782,0.608,10050,10000,宽基，中小盘,0.60%,银华基金,2021-07-07,科创创业50指数,3360.64,11034,10723,13304,8317,10000,11.51
401,光伏龙头ETF,516290,0.465,10043,10008,主题，光伏，新兴产业,0.20%,汇添富基金,2021-08-23,光伏产业指数,1317.52,10449,9873,9190,4973,10000,2.17
402,消费电子ETF,561600,0.935,10000,10001,主题，消费电子,0.60%,平安基金,2021-09-09,消费电子指数,2598.62,11320,11211,15714,9801,10000,1.51
403,科创成长50ETF,588020,1.244,10000,10038,策略，成长，科创板,0.60%,易方达基金,2023-08-31,科创成长指数,3979.62,11217,11371,14810,10000,10000,2.79
404,工程机械ETF,560280,1.322,9985,10023,行业，机械,0.60%,广发基金,2023-10-30,工程机械主题指数,2131.69,10971,11175,12332,10000,10000,0.996
405,央企结构调整ETF,512960,1.287,10000,9997,主题，央企,0.20%,博时基金,2019-01-18,结构调整指数,1960.52,10150,9640,11009,10437,13495,54.04
406,化工龙头ETF,516220,0.645,10000,10004,行业，化工,0.60%,国泰基金,2021-03-10,细分化工指数,1214.26,10222,10142,10386,6062,10000,1.27
407,传媒ETF,159805,1.195,10000,10001,行业，TMT，传媒,0.60%,鹏华基金,2020-04-17,中证传媒指数,3323.59,11034,11085,12144,12513,10000,2.2
408,国企共赢ETF,159719,1.506,10000,10000,主题，国企,0.30%,平安基金,2021-12-28,富时中国国企开放共赢指数,1193.46,9927,9354,10803,14579,10000,3.08
409,科创100ETF华泰柏瑞,588880,1.004,9990,9994,宽基，中小盘，科创板,0.60%,华泰柏瑞基金,2023-11-16,科创100指数,4867.83,11474,11594,12839,10000,10000,4.05
410,电力ETF,561560,1.128,10045,10011,行业，电力,0.60%,华泰柏瑞基金,2022-05-16,电力指数,5168.66,9982,9416,10217,10000,10000,2.45
411,食品饮料ETF,159843,0.636,10000,9983,行业，食品饮料,0.60%,招商基金,2021-02-05,国证食品指数,1262.04,10047,9394,9408,7447,10000,3.2
412,深证50ETF富国,159350,1.192,10000,9996,策略，价值,0.60%,富国基金,2023-12-11,深证50指数,4990.23,10465,10102,12126,10000,10000,5.45
413,电池ETF,561910,0.524,10000,10022,主题，新兴产业，新能源车，电池,0.60%,招商基金,2021-08-12,CS电池指数,4605.43,10917,10738,12388,5758,10000,5.4
414,农业ETF,516550,0.606,9967,10011,行业，农业,0.60%,嘉实基金,2021-04-08,大农业指数,1904.47,9822,9558,10083,6902,10000,1.73
415,集成电路ETF,159546,1.473,10007,10003,行业，半导体，芯片,0.60%,国泰基金,2023-10-20,集成电路指数,2636.45,11644,11490,17289,10000,10000,1.5
416,中证A500指数ETF,563880,1.0,10000,9997,宽基，中小盘,0.20%,汇添富基金,2024-11-25,中证A500指数,84280.58,10460,10132,10000,10000,10000,20.01
417,港股汽车ETF,520600,1.196,10118,10000,跨境，香港，汽车,0.60%,广发基金,2024-12-30,港股通汽车指数,66223.66,12081,12292,10000,10000,10000,2.04
418,科创ETF,588050,1.131,9982,9993,宽基，中小盘，科创板,0.35%,工银瑞信基金,2020-11-16,科创50指数,55123.47,11506,11099,14298,8864,10000,137.22
419,港股科技50ETF,159750,1.138,10000,10000,跨境，香港，科技,0.65%,招商基金,2022-02-14,港股科技港币指数,52828.97,13548,14207,18748,12424,10000,1.18
420,半导体ETF,159813,0.887,10023,9981,行业，半导体，芯片,0.60%,鹏华基金,2020-05-25,国证芯片指数,41386.64,11702,11271,16767,9406,10000,53.07
421,港股通科技ETF,513860,0.8,10914,10033,跨境，香港，科技,0.60%,海富通基金,2021-07-02,HKC科技港币全收益指数,40497.67,14011,14545,20253,13841,10000,10.16
422,香港科技ETF,159747,1.426,10021,10000,跨境，香港，科技,0.65%,南方基金,2021-07-14,港股科技港币指数,38601.76,12304,12870,16996,11519,10000,3.31
423,恒生医疗ETF,159506,0.941,9761,10000,跨境，香港，医疗,0.60%,富国基金,2023-07-03,恒生港股通医疗保健指数,33000.32,11560,11603,11689,10000,10000,5.51
424,中证A500指数ETF,159357,1.019,10000,10007,宽基，中小盘,0.20%,博时基金,2024-11-28,中证A500指数,32994.17,10430,10084,10000,10000,10000,20.0
425,科创50ETF龙头,588060,0.702,9986,10004,宽基，中小盘，科创板,0.60%,广发基金,2021-07-29,科创50指数,32758.59,11508,11108,14356,8775,10000,64.13
426,中证A500ETF华安,159359,1.018,10000,9998,宽基，中小盘,0.20%,华安基金,2024-12-02,中证A500指数,32370.1,10430,10109,10000,10000,10000,19.89
427,中证A500ETF华宝,563500,1.028,10000,10006,宽基，中小盘,0.20%,华宝基金,2024-12-02,中证A500指数,31352.28,10447,10158,10000,10000,10000,19.96
428,港股科技ETF,513020,1.157,10131,10077,跨境，香港，科技,0.60%,国泰基金,2022-02-08,HKC科技人民币指数,30663.07,13163,13660,18936,12841,10000,3.6
429,中证1000ETF指数,560010,2.612,9981,9998,宽基，中小盘,0.20%,广发基金,2022-08-04,中证1000指数,30349.34,10989,10780,12432,10000,10000,224.81
430,1000ETF,159629,2.6,9962,9986,宽基，中小盘,0.20%,富国基金,2022-08-03,中证1000指数,28271.82,10938,10735,12346,10000,10000,89.32
431,中证A500ETF基金,159358,1.026,9961,10001,宽基，中小盘,0.20%,大成基金,2024-11-29,中证A500指数,27151.54,10395,10049,10000,10000,10000,20.0
432,恒生指数ETF,513600,2.658,9996,10000,跨境，香港,0.60%,南方基金,2015-01-26,香港恒生指数,25104.11,11482,11502,14797,12535,10386,18.6
433,中概互联ETF,513220,1.307,10031,10000,跨境，中概股,0.65%,招商基金,2022-07-15,全球中国互联网人民币指数,24779.96,11817,12147,15998,10000,10000,1.88
434,A500ETF基金,159356,1.012,10010,10009,宽基，中小盘,0.20%,万家基金,2024-12-06,中证A500指数,23752.33,10444,10171,10000,10000,10000,20.03
435,港股非银ETF,513750,1.223,10016,10000,跨境，香港，金融,0.60%,广发基金,2023-11-27,港股通非银人民币指数,20973.25,10534,10391,13381,10000,10000,8.23
436,中证A500ETF,560510,0.966,9990,10012,宽基，中小盘,0.20%,泰康基金,2024-10-15,中证A500指数,19010.22,10443,10143,10000,10000,10000,82.28
437,中证500ETF华夏,512500,3.28,10003,10002,宽基，中小盘,0.20%,华夏基金,2015-05-29,中证500指数,17990.7,10722,10449,11714,9213,11062,136.42
438,恒生生物科技ETF,159615,0.805,9938,10000,跨境，香港，生物科技,0.65%,南方基金,2022-06-28,恒生香港上市生物科技指数,17498.52,11684,11583,12051,10000,10000,3.46
439,中证A500ETF天弘,159360,1.027,10000,10003,宽基，中小盘,0.20%,天弘基金,2024-11-28,中证A500指数,17128.67,10437,10148,10000,10000,10000,20.0
440,A500ETF海富通,563860,1.017,10000,10003,宽基，中小盘,0.20%,海富通基金,2025-02-12,中证A500指数,16421.16,10000,10000,10000,10000,10000,19.39
441,恒生创新药ETF,520500,1.179,10164,10000,,0.60%,华泰柏瑞基金,2024-12-27,恒生创新药指数,16172.98,12018,11970,10000,10000,10000,1.98
442,港股医药ETF,159718,0.67,10030,9985,跨境，香港，医药,0.60%,平安基金,2021-12-28,HKC医药C人民币指数,15648.09,11592,11552,11375,7827,10000,2.22
443,A500ETF中金,512080,1.035,9942,10006,宽基，中小盘,0.20%,中金基金,2025-01-21,中证A500指数,15172.59,10402,10000,10000,10000,10000,19.91
444,恒生国企ETF,159850,0.86,9931,10000,跨境，香港，中概股,0.65%,华夏基金,2021-02-19,恒生中国企业指数,14978.14,11331,11497,15194,12628,10000,11.45
445,科创200ETF指数,588240,1.035,10019,10000,宽基，中小盘，科创板,0.20%,鹏华基金,2025-02-25,科创200指数,14761.5,10000,10000,10000,10000,10000,2.68
446,人工智能ETF科创,588760,0.628,10016,10015,主题，新兴产业，人工智能,0.60%,广发基金,2025-01-23,科创AI指数,14809.4,12171,10000,10000,10000,10000,3.26
447,沪深300ETF基金,510360,1.46,10000,9997,宽基，大盘股,0.60%,广发基金,2015-09-09,沪深300指数,14624.98,10267,9986,11680,9171,10807,101.95
448,中证1000ETF易方达,159633,2.618,9951,9989,宽基，中小盘,0.20%,易方达基金,2022-08-04,中证1000指数,13508.74,10931,10734,12431,10000,10000,24.68
449,沪深300ETF南方,159925,3.952,10000,10001,宽基，大盘股,0.20%,南方基金,2013-04-11,沪深300指数,13414.3,10276,9990,11720,9251,11153,51.51
450,国证2000ETF,159628,1.095,9927,10015,宽基，中小盘,0.60%,万家基金,2022-07-18,国证2000指数,13296.76,11083,10950,13051,10000,10000,8.75
451,科创板100ETF,588120,1.043,10019,9985,宽基，中小盘，科创板,0.20%,国泰基金,2023-09-15,科创100指数,12953.64,11499,11615,12735,10000,10000,14.93
452,A50ETF基金,159592,1.128,10000,9993,宽基，大盘,0.20%,银华基金,2024-03-18,中证A50指数,11840.69,10292,9991,10000,10000,10000,30.39
453,银行ETF,159887,1.199,10000,10009,行业，金融，银行,0.60%,富国基金,2021-05-20,800银行指数,10182.93,9788,9925,12634,12542,10000,4.06
